date,library_name,avg_temperature,avg_humidity,avg_ph,avg_mold_spore
2025-07-04,故宫博物院,18.65,43.28,6.83,145.89
2025-07-04,北京大学图书馆,19.68,42.72,6.7,90.35
2025-07-04,中国科学院图书馆,20.06,43.22,6.77,91.15
2025-07-05,本馆,19.42,50.01,6.77,104.91
2025-07-05,国家图书馆,18.99,41.18,6.63,118.37
2025-07-05,上海图书馆,20.5,50.09,6.88,213.8
2025-07-05,南京图书馆,19.97,42.68,7.06,161.78
2025-07-05,浙江图书馆,21.2,49.93,6.62,195.67
2025-07-05,故宫博物院,18.23,38.36,7.0,83.7
2025-07-05,北京大学图书馆,19.32,44.32,6.77,185.12
2025-07-05,中国科学院图书馆,17.37,46.27,7.02,67.8
2025-07-06,本馆,19.49,43.89,6.66,126.67
2025-07-06,国家图书馆,18.38,47.26,6.99,158.15
2025-07-06,上海图书馆,21.35,44.61,6.65,194.68
2025-07-06,南京图书馆,19.29,48.14,6.78,148.76
2025-07-06,浙江图书馆,21.84,51.33,6.56,234.78
2025-07-06,故宫博物院,17.9,41.85,7.06,90.71
2025-07-06,北京大学图书馆,20.23,40.25,6.89,134.45
2025-07-06,中国科学院图书馆,19.15,46.15,6.83,87.75
2025-07-07,本馆,18.6,46.82,6.67,202.64
2025-07-07,国家图书馆,17.68,47.09,6.92,117.1
2025-07-07,上海图书馆,20.41,49.2,6.7,213.1
2025-07-07,南京图书馆,20.44,46.45,6.76,158.29
2025-07-07,浙江图书馆,21.59,44.87,6.47,222.3
2025-07-07,故宫博物院,18.99,39.45,7.0,110.43
2025-07-07,北京大学图书馆,19.62,41.67,6.82,110.65
2025-07-07,中国科学院图书馆,19.98,37.89,7.0,144.18
2025-07-08,本馆,20.13,47.95,6.97,180.43
2025-07-08,国家图书馆,17.96,38.16,6.84,120.78
2025-07-08,上海图书馆,21.34,45.82,6.72,157.34
2025-07-08,南京图书馆,19.94,41.78,6.71,119.45
2025-07-08,浙江图书馆,20.65,53.16,6.51,278.97
2025-07-08,故宫博物院,19.32,40.55,6.91,121.01
2025-07-08,北京大学图书馆,19.67,44.37,7.06,137.12
2025-07-08,中国科学院图书馆,20.65,40.89,6.9,183.12
2025-07-09,本馆,19.51,50.44,6.87,133.13
2025-07-09,国家图书馆,20.01,44.92,6.96,72.89
2025-07-09,上海图书馆,20.43,47.26,6.69,198.62
2025-07-09,南京图书馆,20.65,41.99,6.84,178.32
2025-07-09,浙江图书馆,21.96,53.24,6.68,213.78
2025-07-09,故宫博物院,18.95,35.02,7.04,106.23
2025-07-09,北京大学图书馆,20.42,40.17,6.69,171.59
2025-07-09,中国科学院图书馆,19.78,45.04,6.9,130.89
2025-07-10,本馆,20.84,43.45,6.81,136.13
2025-07-10,国家图书馆,19.24,41.07,6.92,105.64
2025-07-10,上海图书馆,22.09,45.32,6.68,166.81
2025-07-10,南京图书馆,21.74,46.59,6.9,115.43
2025-07-10,浙江图书馆,21.8,52.67,6.61,231.96
2025-07-10,故宫博物院,18.67,44.23,7.23,89.11
2025-07-10,北京大学图书馆,19.93,48.36,6.96,124.31
2025-07-10,中国科学院图书馆,19.55,42.15,6.77,102.44
2025-07-11,本馆,19.36,42.7,6.8,157.03
2025-07-11,国家图书馆,20.9,39.0,7.0,113.58
2025-07-11,上海图书馆,21.12,50.02,6.59,191.47
2025-07-11,南京图书馆,20.8,47.48,6.83,233.66
2025-07-11,浙江图书馆,21.15,48.41,6.54,183.34
2025-07-11,故宫博物院,18.65,43.57,7.14,82.88
2025-07-11,北京大学图书馆,19.7,45.41,6.74,158.99
2025-07-11,中国科学院图书馆,20.13,38.45,7.05,183.88
2025-07-12,本馆,19.75,43.84,6.83,160.03
2025-07-12,国家图书馆,20.27,48.03,6.88,96.05
2025-07-12,上海图书馆,20.14,45.81,6.7,233.84
2025-07-12,南京图书馆,20.33,46.67,6.8,195.65
2025-07-12,浙江图书馆,23.76,48.41,6.55,231.32
2025-07-12,故宫博物院,19.79,45.54,7.06,89.22
2025-07-12,北京大学图书馆,20.91,47.33,6.88,155.22
2025-07-12,中国科学院图书馆,20.89,46.51,7.04,149.46
2025-07-13,本馆,20.18,45.44,6.92,125.49
2025-07-13,国家图书馆,20.11,40.82,6.9,158.35
2025-07-13,上海图书馆,21.47,48.14,6.56,202.39
2025-07-13,南京图书馆,21.33,52.49,6.77,166.57
2025-07-13,浙江图书馆,22.02,54.73,6.59,208.37
2025-07-13,故宫博物院,19.8,40.56,6.96,105.82
2025-07-13,北京大学图书馆,21.38,40.92,6.81,119.0
2025-07-13,中国科学院图书馆,21.07,38.43,6.84,141.32
2025-07-14,本馆,21.65,44.8,6.74,206.43
2025-07-14,国家图书馆,18.74,35.4,6.94,104.94
2025-07-14,上海图书馆,20.58,50.13,6.72,163.08
2025-07-14,南京图书馆,19.87,48.62,6.87,157.02
2025-07-14,浙江图书馆,23.37,46.79,6.45,179.24
2025-07-14,故宫博物院,19.36,40.73,6.98,110.56
2025-07-14,北京大学图书馆,19.59,48.33,6.79,173.52
2025-07-14,中国科学院图书馆,20.47,44.37,6.96,143.43
2025-07-15,本馆,20.98,48.99,6.82,171.27
2025-07-15,国家图书馆,19.9,46.32,6.83,174.03
2025-07-15,上海图书馆,21.44,43.71,6.71,159.57
2025-07-15,南京图书馆,21.64,44.04,6.76,103.31
2025-07-15,浙江图书馆,21.61,42.73,6.44,222.81
2025-07-15,故宫博物院,20.1,41.28,6.9,98.57
2025-07-15,北京大学图书馆,20.67,40.52,6.95,166.32
2025-07-15,中国科学院图书馆,20.09,43.08,6.92,68.75
2025-07-16,本馆,20.35,42.95,6.7,141.57
2025-07-16,国家图书馆,21.48,43.92,6.84,137.18
2025-07-16,上海图书馆,22.66,50.77,6.71,160.59
2025-07-16,南京图书馆,21.6,47.18,6.89,179.06
2025-07-16,浙江图书馆,22.88,48.39,6.73,205.93
2025-07-16,故宫博物院,21.2,37.93,7.17,105.94
2025-07-16,北京大学图书馆,20.22,42.55,6.77,152.72
2025-07-16,中国科学院图书馆,20.76,41.28,6.9,194.27
2025-07-17,本馆,22.0,46.31,6.8,153.6
2025-07-17,国家图书馆,20.61,38.93,6.87,69.94
2025-07-17,上海图书馆,21.94,49.94,6.65,227.22
2025-07-17,南京图书馆,20.14,41.61,6.82,191.41
2025-07-17,浙江图书馆,23.46,48.62,6.71,198.84
2025-07-17,故宫博物院,19.48,42.65,7.07,52.71
2025-07-17,北京大学图书馆,22.0,48.14,6.74,151.87
2025-07-17,中国科学院图书馆,20.81,43.78,6.84,109.85
2025-07-18,本馆,20.67,48.52,6.85,138.88
2025-07-18,国家图书馆,20.81,33.45,7.01,67.81
2025-07-18,上海图书馆,21.4,44.64,6.57,214.82
2025-07-18,南京图书馆,20.82,47.04,6.8,174.31
2025-07-18,浙江图书馆,22.25,46.15,6.7,185.19
2025-07-18,故宫博物院,18.44,38.72,7.15,125.51
2025-07-18,北京大学图书馆,20.61,42.95,6.77,202.3
2025-07-18,中国科学院图书馆,20.8,44.29,7.0,137.16
2025-07-19,本馆,20.55,44.41,6.79,148.88
2025-07-19,国家图书馆,20.84,42.16,6.97,117.58
2025-07-19,上海图书馆,21.83,42.01,6.79,190.39
2025-07-19,南京图书馆,22.06,37.31,7.01,155.81
2025-07-19,浙江图书馆,23.15,46.88,6.66,168.4
2025-07-19,故宫博物院,19.26,45.74,6.98,106.52
2025-07-19,北京大学图书馆,21.66,45.49,6.82,150.95
2025-07-19,中国科学院图书馆,22.48,42.83,6.92,161.52
2025-07-20,本馆,21.72,48.56,6.86,115.71
2025-07-20,国家图书馆,21.64,38.56,6.93,97.37
2025-07-20,上海图书馆,21.78,48.99,6.73,192.66
2025-07-20,南京图书馆,22.62,47.36,6.78,188.92
2025-07-20,浙江图书馆,23.29,46.32,6.66,221.04
2025-07-20,故宫博物院,19.6,44.13,6.98,103.77
2025-07-20,北京大学图书馆,20.9,44.05,6.69,96.8
2025-07-20,中国科学院图书馆,21.91,40.46,6.8,65.4
2025-07-21,本馆,20.39,41.03,6.96,180.29
2025-07-21,国家图书馆,19.85,48.76,7.0,110.26
2025-07-21,上海图书馆,19.9,54.87,6.56,130.64
2025-07-21,南京图书馆,22.22,53.32,6.94,176.92
2025-07-21,浙江图书馆,22.88,52.56,6.68,208.44
2025-07-21,故宫博物院,19.99,39.81,6.92,91.58
2025-07-21,北京大学图书馆,19.75,43.7,6.7,106.89
2025-07-21,中国科学院图书馆,20.85,47.18,6.99,82.88
2025-07-22,本馆,20.18,47.82,6.7,143.26
2025-07-22,国家图书馆,20.91,39.09,6.91,79.98
2025-07-22,上海图书馆,21.49,48.96,6.54,193.21
2025-07-22,南京图书馆,21.46,47.66,6.82,200.92
2025-07-22,浙江图书馆,22.57,48.71,6.61,216.3
2025-07-22,故宫博物院,20.01,40.12,6.93,80.11
2025-07-22,北京大学图书馆,20.05,49.25,6.68,119.21
2025-07-22,中国科学院图书馆,20.2,45.68,6.87,167.43
2025-07-23,本馆,20.5,45.84,6.72,214.35
2025-07-23,国家图书馆,19.59,42.93,6.96,132.41
2025-07-23,上海图书馆,21.89,47.61,6.7,175.59
2025-07-23,南京图书馆,22.31,52.63,6.74,118.91
2025-07-23,浙江图书馆,22.47,57.74,6.52,249.17
2025-07-23,故宫博物院,21.38,38.34,7.06,148.85
2025-07-23,北京大学图书馆,20.94,43.39,6.74,109.56
2025-07-23,中国科学院图书馆,20.32,39.33,6.9,106.9
2025-07-24,本馆,21.3,40.33,6.83,175.01
2025-07-24,国家图书馆,19.02,43.12,7.02,83.71
2025-07-24,上海图书馆,23.45,49.26,6.63,178.33
2025-07-24,南京图书馆,22.06,46.23,6.85,132.38
2025-07-24,浙江图书馆,22.75,45.76,6.59,172.88
2025-07-24,故宫博物院,19.52,43.71,7.11,118.27
2025-07-24,北京大学图书馆,20.44,43.05,6.92,144.25
2025-07-24,中国科学院图书馆,22.77,44.18,6.92,120.73
2025-07-25,本馆,21.28,44.54,6.87,178.7
2025-07-25,国家图书馆,20.05,38.01,6.72,135.24
2025-07-25,上海图书馆,21.29,41.54,6.74,254.79
2025-07-25,南京图书馆,21.67,48.52,6.81,157.03
2025-07-25,浙江图书馆,23.41,49.13,6.63,209.65
2025-07-25,故宫博物院,19.64,42.98,6.98,77.33
2025-07-25,北京大学图书馆,21.81,41.3,6.8,139.73
2025-07-25,中国科学院图书馆,21.85,44.42,6.9,154.53
2025-07-26,本馆,22.36,46.67,6.8,110.64
2025-07-26,国家图书馆,19.89,41.08,6.84,114.39
2025-07-26,上海图书馆,22.29,49.59,6.69,194.6
2025-07-26,南京图书馆,21.79,40.07,6.71,155.68
2025-07-26,浙江图书馆,21.78,51.8,6.75,236.56
2025-07-26,故宫博物院,20.07,44.47,7.01,89.89
2025-07-26,北京大学图书馆,20.95,43.09,6.76,145.11
2025-07-26,中国科学院图书馆,21.17,43.01,6.94,165.72
2025-07-27,本馆,22.07,40.55,6.54,178.03
2025-07-27,国家图书馆,19.71,41.33,6.78,65.94
2025-07-27,上海图书馆,22.74,50.28,6.64,102.27
2025-07-27,南京图书馆,21.37,47.18,6.65,165.5
2025-07-27,浙江图书馆,22.8,51.74,6.61,170.81
2025-07-27,故宫博物院,21.27,39.52,7.0,72.0
2025-07-27,北京大学图书馆,21.15,41.35,6.78,191.35
2025-07-27,中国科学院图书馆,20.01,38.16,7.05,123.72
2025-07-28,本馆,20.84,48.12,6.74,204.78
2025-07-28,国家图书馆,21.41,40.54,7.12,101.83
2025-07-28,上海图书馆,22.97,48.9,6.83,226.85
2025-07-28,南京图书馆,21.9,43.74,6.85,139.67
2025-07-28,浙江图书馆,24.48,50.41,6.56,205.54
2025-07-28,故宫博物院,19.29,37.09,7.12,80.29
2025-07-28,北京大学图书馆,20.73,45.61,6.92,161.57
2025-07-28,中国科学院图书馆,21.97,40.73,6.76,175.04
2025-07-29,本馆,21.18,44.25,6.93,166.69
2025-07-29,国家图书馆,21.3,48.5,6.84,147.84
2025-07-29,上海图书馆,22.48,48.81,6.85,195.24
2025-07-29,南京图书馆,22.37,49.22,6.76,134.82
2025-07-29,浙江图书馆,22.1,44.1,6.81,166.9
2025-07-29,故宫博物院,20.26,39.17,7.03,124.47
2025-07-29,北京大学图书馆,22.32,42.25,6.78,148.48
2025-07-29,中国科学院图书馆,21.04,47.82,6.95,152.05
2025-07-30,本馆,22.03,48.52,6.82,111.1
2025-07-30,国家图书馆,21.32,40.05,6.85,137.59
2025-07-30,上海图书馆,23.49,48.06,6.73,231.07
2025-07-30,南京图书馆,22.19,53.81,6.86,107.18
2025-07-30,浙江图书馆,23.6,51.14,6.73,220.2
2025-07-30,故宫博物院,20.39,36.33,6.98,74.48
2025-07-30,北京大学图书馆,21.23,45.77,6.97,151.84
2025-07-30,中国科学院图书馆,20.34,44.33,7.02,111.71
2025-07-31,本馆,21.45,45.04,6.72,169.45
2025-07-31,国家图书馆,20.96,43.26,6.81,106.88
2025-07-31,上海图书馆,23.14,46.88,6.87,168.01
2025-07-31,南京图书馆,22.24,48.8,6.66,107.18
2025-07-31,浙江图书馆,21.84,53.79,6.54,276.75
2025-07-31,故宫博物院,20.11,40.55,7.15,160.18
2025-07-31,北京大学图书馆,23.41,47.63,6.9,157.78
2025-07-31,中国科学院图书馆,21.98,41.35,6.82,129.9
2025-08-01,本馆,21.48,43.64,6.87,178.66
2025-08-01,国家图书馆,21.19,46.43,6.79,114.19
2025-08-01,上海图书馆,22.04,42.4,6.69,176.35
2025-08-01,南京图书馆,23.33,47.89,6.7,215.62
2025-08-01,浙江图书馆,24.1,51.75,6.58,171.22
2025-08-01,故宫博物院,20.32,43.27,7.19,146.3
2025-08-01,北京大学图书馆,21.43,40.64,6.81,86.95
2025-08-01,中国科学院图书馆,21.68,42.56,6.85,82.16
2025-08-02,本馆,22.09,43.4,6.68,63.83
2025-08-02,国家图书馆,21.16,47.32,7.07,106.29
2025-08-02,上海图书馆,22.2,49.41,6.6,189.05
2025-08-02,南京图书馆,22.79,49.68,6.79,153.89
2025-08-02,浙江图书馆,22.47,47.52,6.58,211.02
2025-08-02,故宫博物院,21.41,37.59,7.15,91.87
2025-08-02,北京大学图书馆,21.86,41.76,6.56,166.52
2025-08-02,中国科学院图书馆,22.07,42.16,6.91,145.48
2025-08-03,本馆,20.48,43.41,6.88,112.37
2025-08-03,国家图书馆,21.47,37.93,6.95,118.93
2025-08-03,上海图书馆,21.44,51.49,6.63,155.69
2025-08-03,南京图书馆,22.4,49.45,6.7,161.85
2025-08-03,浙江图书馆,23.58,52.08,6.62,188.99
2025-08-03,故宫博物院,20.07,40.26,6.89,12.36
2025-08-03,北京大学图书馆,22.28,46.71,6.56,109.71
2025-08-03,中国科学院图书馆,22.03,49.17,6.9,108.16
2025-08-04,本馆,21.65,49.12,6.74,126.02
2025-08-04,国家图书馆,20.91,39.14,6.91,168.74
2025-08-04,上海图书馆,23.05,47.24,6.67,133.1
2025-08-04,南京图书馆,23.0,45.77,6.78,255.79
2025-08-04,浙江图书馆,23.53,47.74,6.56,234.45
2025-08-04,故宫博物院,20.88,35.69,7.09,79.96
2025-08-04,北京大学图书馆,23.49,47.24,6.76,178.43
2025-08-04,中国科学院图书馆,21.65,45.56,6.95,104.61
2025-08-05,本馆,21.33,48.09,6.77,137.89
2025-08-05,国家图书馆,20.58,43.27,7.11,87.97
2025-08-05,上海图书馆,22.87,52.24,6.69,193.57
2025-08-05,南京图书馆,21.5,47.28,6.78,189.57
2025-08-05,浙江图书馆,24.3,57.77,6.66,209.77
2025-08-05,故宫博物院,21.0,38.94,7.03,91.14
2025-08-05,北京大学图书馆,22.18,47.95,6.7,174.2
2025-08-05,中国科学院图书馆,22.7,42.65,6.69,111.77
2025-08-06,本馆,22.94,44.93,6.7,134.86
2025-08-06,国家图书馆,22.07,43.64,6.88,109.0
2025-08-06,上海图书馆,22.59,45.23,6.86,170.33
2025-08-06,南京图书馆,23.38,50.56,6.9,147.05
2025-08-06,浙江图书馆,23.72,49.93,6.51,209.73
2025-08-06,故宫博物院,19.96,43.56,6.95,106.03
2025-08-06,北京大学图书馆,22.33,43.22,6.86,125.75
2025-08-06,中国科学院图书馆,22.4,38.96,6.91,188.17
2025-08-07,本馆,21.15,42.97,6.85,155.39
2025-08-07,国家图书馆,21.74,43.47,6.96,153.29
2025-08-07,上海图书馆,23.28,47.28,6.77,237.0
2025-08-07,南京图书馆,22.35,43.08,6.91,156.39
2025-08-07,浙江图书馆,21.72,52.54,6.55,197.28
2025-08-07,故宫博物院,21.22,40.57,7.07,86.94
2025-08-07,北京大学图书馆,22.57,43.22,6.87,158.46
2025-08-07,中国科学院图书馆,21.01,46.26,6.85,154.24
2025-08-08,本馆,22.3,50.51,6.78,139.52
2025-08-08,国家图书馆,21.49,41.09,6.98,71.51
2025-08-08,上海图书馆,22.16,44.8,6.8,231.32
2025-08-08,南京图书馆,22.42,45.49,6.81,194.86
2025-08-08,浙江图书馆,22.76,50.72,6.7,215.03
2025-08-08,故宫博物院,21.16,43.0,6.73,120.34
2025-08-08,北京大学图书馆,21.68,38.51,6.85,181.21
2025-08-08,中国科学院图书馆,21.7,45.86,7.06,169.45
2025-08-09,本馆,23.37,47.23,6.81,101.94
2025-08-09,国家图书馆,21.36,39.47,7.12,114.72
2025-08-09,上海图书馆,23.16,49.65,6.7,230.85
2025-08-09,南京图书馆,22.06,46.58,6.73,120.4
2025-08-09,浙江图书馆,23.07,49.89,6.56,179.23
2025-08-09,故宫博物院,19.93,39.75,6.85,122.8
2025-08-09,北京大学图书馆,22.32,39.63,6.77,117.44
2025-08-09,中国科学院图书馆,22.11,47.02,6.71,133.45
2025-08-10,本馆,21.98,47.01,6.82,127.44
2025-08-10,国家图书馆,21.35,39.61,7.01,120.64
2025-08-10,上海图书馆,24.63,47.82,6.63,134.59
2025-08-10,南京图书馆,21.16,41.25,6.83,175.26
2025-08-10,浙江图书馆,22.34,52.69,6.55,204.4
2025-08-10,故宫博物院,22.4,42.69,6.97,73.26
2025-08-10,北京大学图书馆,20.59,41.84,6.78,110.38
2025-08-10,中国科学院图书馆,21.8,43.23,6.88,110.5
2025-08-11,本馆,22.29,46.33,6.69,192.33
2025-08-11,国家图书馆,21.58,42.06,6.97,127.0
